is_genuine,diagonal,height_left,height_right,margin_low,margin_up,length
False,171.45,104.03,104.26,4.88,3.44,111.92
False,171.97,104.38,104.18,5.59,3.47,110.98
False,171.94,104.21,104.1,4.28,3.47,112.23
False,172.04,104.34,104.48,4.88,3.28,112.15
False,171.75,104.16,104.23,5.75,3.25,111.68
False,171.99,104.18,104.2,5.26,3.23,111.83
False,172.22,104.17,104.07,4.52,3.67,112.13
False,171.79,104.05,104.3,5.02,3.44,112.01
False,172.04,104.17,103.9,5.05,3.62,111.56
False,172.22,104.41,104.64,5.2,3.37,112.2
False,172.1,104.3,104.21,4.07,3.41,111.27
False,172.09,104.4,104.21,5.28,3.41,112.11
False,172.32,104.6,104.83,4.84,3.51,112.55
False,171.89,104.32,103.94,5.64,3.3,111.56
False,172.1,104.22,103.99,5.26,3.24,111.94
False,172.43,104.32,103.95,4.13,3.39,111.5
False,171.78,104.51,104.06,5.9,3.18,111.91
False,171.75,104.36,104.02,6.0,3.13,111.79
False,171.83,104.39,104.17,5.51,3.33,113.64
False,171.51,104.13,103.9,4.99,3.6,111.23
False,171.84,104.23,104.31,5.1,3.68,111.72
False,172.07,104.5,104.23,6.19,3.07,111.21
False,172.29,104.72,104.86,5.71,3.16,112.15
False,172.05,104.6,104.32,5.12,3.35,111.78
False,171.74,104.4,104.39,4.87,3.06,112.0
False,171.91,103.99,104.23,5.01,3.42,111.77
False,171.99,104.28,104.32,4.71,3.45,112.18
False,172.4,104.55,104.22,5.18,3.51,111.94
False,172.08,104.15,104.17,4.96,3.4,112.29
False,171.62,104.14,104.45,4.94,3.66,111.93
False,171.43,104.14,103.95,5.34,3.14,111.76
False,171.56,104.17,103.87,6.16,3.38,111.55
False,171.94,104.37,104.14,5.37,3.46,111.94
False,171.69,104.17,104.37,5.31,3.54,111.89
False,171.38,104.04,104.2,5.54,3.38,112.8
False,171.86,104.12,104.1,6.01,3.34,111.91
False,171.69,103.87,104.16,5.46,3.31,111.42
False,171.94,104.56,104.25,4.6,3.37,110.64
False,171.65,104.32,104.38,5.65,3.24,112.3
False,171.6,104.37,104.2,5.82,3.08,112.84
False,171.83,104.18,104.26,5.0,3.6,111.55
False,171.74,103.96,103.47,5.14,3.3,111.4
False,171.69,104.18,104.28,5.62,3.23,110.53
False,172.0,104.46,104.3,5.27,3.37,111.85
False,171.56,103.8,103.87,5.66,2.98,112.95
False,171.95,104.47,104.34,5.92,3.1,113.17
False,171.98,104.44,104.26,5.75,3.2,110.93
False,172.25,104.52,104.22,4.65,3.43,110.48
False,171.67,104.16,104.08,5.42,3.3,111.63
False,171.91,103.91,103.98,4.78,3.65,111.41
False,171.95,104.26,103.97,5.88,3.16,112.44
False,171.68,103.89,103.7,5.97,3.03,109.97
False,171.67,103.79,103.44,5.13,3.32,111.47
False,171.61,104.04,104.06,6.19,3.08,110.73
False,171.62,104.21,103.99,5.5,3.45,111.35
False,172.1,103.98,104.28,5.78,3.16,111.09
False,171.38,103.78,103.7,5.22,3.43,111.6
False,171.53,104.03,104.05,5.77,3.22,111.93
False,171.84,104.32,104.5,6.28,3.0,111.06
False,171.72,104.46,104.12,4.21,3.61,110.31
False,172.5,104.07,103.71,3.82,3.63,110.74
False,171.92,104.37,104.05,4.95,3.04,110.61
False,171.67,104.12,103.98,5.68,3.18,111.55
False,171.78,104.07,104.16,5.77,3.3,111.27
False,171.43,104.26,103.97,5.73,3.14,111.82
False,172.11,104.23,104.45,5.24,3.58,111.78
False,173.01,104.59,104.31,5.04,3.05,110.91
False,172.47,104.27,104.1,4.88,3.33,110.68
False,171.82,103.97,103.88,4.73,3.55,111.87
False,171.96,104.0,103.95,5.63,3.26,110.96
